Size,Time
10, 0.38
15, 0.373333
22, 0.304545
33, 0.448485
49, 0.579592
73, 0.439726
109, 0.569725
163, 0.399387
244, 0.488115
366, 0.378689
549, 0.445537
823, 0.474484
1234, 0.35778
1851, 0.395786
2776, 0.294344
4164, 0.345101
6246, 0.42568
9369, 0.333739
14053, 0.435964
21079, 0.342791
31618, 0.510232
47427, 0.432203
71140, 0.594398
106710, 0.803571
160065, 0.627478
240097, 0.841814
360145, 0.688854
540217, 0.863691
810325, 1.14539
1215487, 0.983752
1823230, 1.13931
2734845, 0.967505
4102267, 1.10643
6153400, 0.961215
9230100, 1.1093
13845150, 1.3325
20767725, 1.16934
31151587, 1.36489
